,,,,Execution Time,Execution Time,Execution Time,Execution Time,Guesses,Guesses,Guesses,Backtracks,Backtracks,Backtracks
,,,,count,min,max,mean,min,max,mean,min,max,mean
algorithm,search,guess,Zeros,,,,,,,,,,
backtracking,1,1,26,50,0.0145149999880231,0.0164637000125367,0.015557422002893832,26,45,30.24,0,19,4.24
backtracking,1,1,27,50,0.0143611000094097,0.0183311000000685,0.01570378800097382,27,59,32.04,0,32,5.04
backtracking,1,2,26,50,0.0146479999821167,0.017576900019776,0.01582085000118236,26,50,29.62,0,24,3.62
backtracking,1,2,27,50,0.0150830000056885,0.0183924000011757,0.01620504599995906,27,65,31.82,0,38,4.82
backtracking,2,1,26,50,0.0142849000112619,0.0169263999850954,0.015438980001490523,26,57,30.78,0,31,4.78
backtracking,2,1,27,50,0.0140825000125914,0.0180368999717757,0.015507689999067183,27,82,33.62,0,55,6.62
backtracking,2,2,26,50,0.014630899997428,0.0175746000022627,0.015948689999058793,26,53,30.4,0,27,4.4
backtracking,2,2,27,50,0.0143926999880932,0.0180417000083252,0.015891033998341256,27,57,31.8,0,30,4.8
backtracking,3,1,26,50,0.1508950999996159,0.1674814999860245,0.1593132399988826,26,146,48.62,0,120,22.62
backtracking,3,1,27,50,0.1523181999800726,0.1758668000111356,0.16194589600025208,27,200,52.36,0,173,25.36
backtracking,3,2,26,50,0.1513144000200554,0.1754086000146344,0.1623451560013927,26,141,48.14,0,115,22.14
backtracking,3,2,27,50,0.1546466999861877,0.1833919000055175,0.1648938699997961,27,192,57.44,0,165,30.44
backtracking,4,1,26,50,0.0253694000130053,0.0433139000087976,0.028735531999263864,26,46,30.56,0,20,4.56
backtracking,4,1,27,50,0.0256738000025507,0.0445844999921973,0.030050911999423943,27,61,32.64,0,34,5.64
backtracking,4,2,26,50,0.0256826000113505,0.0452283000049646,0.029169837998924725,26,42,29.52,0,16,3.52
backtracking,4,2,27,50,0.0261816999991424,0.0404278000060003,0.029557469998253455,27,73,32.96,0,46,5.96
backtracking,5,1,26,50,0.0252544999821111,0.0430913000018335,0.028979220000328453,26,57,30.22,0,31,4.22
backtracking,5,1,27,50,0.0249903000076301,0.0359697999956551,0.028076018000137946,27,61,32.6,0,34,5.6
backtracking,5,2,26,50,0.0255777999991551,0.040214599983301,0.02933083599724337,26,52,30.26,0,26,4.26
backtracking,5,2,27,50,0.0257505000045057,0.0396177999791689,0.028841012000921134,27,70,32.24,0,43,5.24
backtracking,6,1,26,50,0.0252768000063952,0.038056499994127,0.029066058000898877,26,57,30.8,0,31,4.8
backtracking,6,1,27,50,0.0253850999870337,0.0557352000032551,0.030937839999096415,27,62,33.04,0,35,6.04
backtracking,6,2,26,50,0.0253531000053044,0.0363729999808128,0.029016907999175546,26,76,30.66,0,50,4.66
backtracking,6,2,27,50,0.0253319999901577,0.0357560000265948,0.02877530199999451,27,63,32.5,0,36,5.5
backtracking,7,1,26,50,0.0260485000035259,0.0408133000019006,0.029428146000136567,26,71,30.3,0,45,4.3
backtracking,7,1,27,50,0.0251126000075601,0.041618399991421,0.029143320003058717,27,58,32.54,0,31,5.54
backtracking,7,2,26,50,0.0257298999931663,0.0381812999839894,0.030412373998551585,26,42,29.3,0,16,3.3
backtracking,7,2,27,50,0.0259847000124864,0.0381867999967653,0.029569999998784575,27,69,32.58,0,42,5.58
backtracking,8,1,26,50,0.0404949999938253,0.05912520000129,0.044028210000251373,26,336,42.66,0,310,16.66
backtracking,8,1,27,50,0.0402925999951548,0.0641546000260859,0.0447614300018176,27,118,43.66,0,91,16.66
backtracking,8,2,26,50,0.04134980001254,0.0523794000037014,0.044842897998751095,26,76,37.84,0,50,11.84
backtracking,8,2,27,50,0.0408517000032588,0.0545209999836515,0.0445718100003432,27,150,41.9,0,123,14.9
backtracking,9,1,26,50,0.0263699000061024,0.0316326000029221,0.028206430001882783,26,89,34.06,0,63,8.06
backtracking,9,1,27,50,0.0261224999849218,0.0359700999979395,0.028149659998016392,27,94,34.8,0,67,7.8
backtracking,9,2,26,50,0.0261886999942362,0.0315179000026546,0.02852303000167008,26,58,33.14,0,32,7.14
backtracking,9,2,27,50,0.0253992000070866,0.0334029000077862,0.028708911998546638,27,88,34.56,0,61,7.56
